,gospel_mark,gospel_other,greek_biographies,greek_histeriographies,greek_novels,greek_tragedies,jewish_texts
0,"('punct punct cconj verb', 190, 0.013839318231480807)","('det noun det noun', 848, 0.009786497403346797)","('verb adp det noun', 2636, 0.004508487621328088)","('det noun verb punct', 7274, 0.003952738850249668)","('det noun verb punct', 1461, 0.006135587668350698)","('noun punct noun punct', 2570, 0.007925469745984069)","('det noun pron punct', 643, 0.00852445976401962)"
1,"('verb adp det noun', 138, 0.010051715347075534)","('verb adp det noun', 824, 0.009509521061742642)","('adp det noun verb', 2302, 0.003937230085090007)","('adp det noun punct', 5878, 0.0031941433821511614)","('det noun punct verb', 1063, 0.004464154477383157)","('verb punct noun punct', 2288, 0.007055826762183482)","('verb punct verb punct', 594, 0.007874850855097442)"
2,"('det noun punct punct', 122, 0.008886299074950834)","('punct punct verb adv', 778, 0.008978649740334679)","('verb punct verb adv', 1890, 0.00323256510026938)","('verb det noun punct', 5766, 0.003133281854624634)","('verb det noun punct', 1015, 0.004262574595055414)","('verb punct propn punct', 1617, 0.004986569875196981)","('punct verb punct verb', 579, 0.007675990985019223)"
3,"('punct cconj verb pron', 121, 0.008813460557943041)","('det noun punct punct', 721, 0.008320830929024813)","('det noun det noun', 1812, 0.0030991576516868347)","('det noun punct verb', 5714, 0.00310502471684446)","('verb punct verb adv', 940, 0.003947606028918314)","('noun punct propn punct', 1389, 0.004283454271273102)","('det noun det noun', 424, 0.005621105660877635)"
4,"('det noun det noun', 105, 0.007648044285818341)","('det noun pron punct', 530, 0.006116560877091748)","('det noun verb punct', 1809, 0.003094026595972121)","('verb adp det noun', 5539, 0.0030099285800842604)","('det noun det noun', 728, 0.0030572948819707793)","('verb noun punct noun', 1246, 0.0038424650986366342)","('verb adp det noun', 410, 0.005435503115471298)"
5,"('adp det noun punct', 94, 0.0068468205987326095)","('adp det noun punct', 498, 0.005747259088286209)","('noun verb det noun', 1768, 0.0030239021678710393)","('adp det noun verb', 5159, 0.0028034341116906845)","('adp det noun verb', 689, 0.0028935112275794875)","('punct noun punct adv', 1239, 0.003820878216060024)","('verb det noun pron', 391, 0.005183613946705555)"
6,"('verb pron punct punct', 81, 0.005899919877631291)","('verb pron punct punct', 407, 0.004697057126370456)","('verb det noun verb', 1713, 0.0029298328131012958)","('verb punct det adv', 4933, 0.0026806242436460837)","('punct det noun punct', 655, 0.0027507254775973357)","('punct noun punct verb', 1210, 0.0037314468453854954)","('adp det noun pron', 373, 0.004944982102611693)"
7,"('noun punct punct cconj', 76, 0.005535727292592323)","('verb det noun pron', 396, 0.004570109636468552)","('det noun verb verb', 1627, 0.002782742549279514)","('verb punct verb adv', 4483, 0.0024360913205484277)","('verb punct pron adv', 646, 0.0027129292496608838)","('adj punct noun punct', 1075, 0.0033151283956937253)","('noun pron punct cconj', 362, 0.004799151531220999)"
8,"('cconj verb pron punct', 76, 0.005535727292592323)","('noun adp det noun', 360, 0.00415464512406232)","('adv verb det noun', 1524, 0.0026065763030743575)","('det noun punct det', 4190, 0.0022768732172870646)","('verb punct det adv', 632, 0.0026541351173152918)","('noun verb punct noun', 1042, 0.003213361663546848)","('pron punct cconj verb', 359, 0.004759379557205356)"
9,"('punct punct adv verb', 75, 0.005462888775584529)","('adv verb det noun', 360, 0.00415464512406232)","('verb det noun punct', 1509, 0.002580921024500791)","('det noun det noun', 3941, 0.0021415649998396953)","('noun verb punct verb', 628, 0.00263733679378798)","('adj noun punct noun', 997, 0.003074588846982925)","('det noun punct cconj', 333, 0.004414689115736444)"
